# NPC=20: Total hesitation points = 288
X,Y,Z
51.470000,-2.870000,1.030000
51.520000,-2.870000,1.150000
50.480000,-2.870000,1.350000
48.590000,-2.650000,0.700000
47.380000,-2.650000,0.700000
46.370000,-2.870000,1.220000
45.290000,-2.870000,1.230000
38.900000,-2.630000,-1.740000
28.880000,-1.570000,-2.900000
-119.310000,-1.580000,-2.920000
-120.160000,-1.570000,-2.910000
-158.560000,-1.580000,-2.910000
-218.210000,-2.440000,-2.250000
-219.550000,-2.870000,-1.080000
-42.500000,-1.620000,1.000000
-42.470000,-1.620000,1.000000
-40.500000,-1.570000,-2.440000
-218.330000,-2.440000,-1.900000
-228.990000,-2.570000,-2.880000
-42.500000,-1.620000,1.000000
-44.860000,-1.620000,0.020000
-45.030000,-1.620000,-0.120000
26.150000,-1.570000,-2.480000
29.340000,-2.870000,-1.150000
36.360000,-2.870000,-1.240000
38.170000,-2.870000,-1.340000
38.850000,-2.440000,-2.060000
32.480000,-1.570000,-2.460000
27.380000,-1.570000,-2.550000
