# Smoke=2: Total hesitation points = 347
X,Y,Z
26.520000,-2.870000,-1.600000
24.140000,-2.870000,1.400000
23.320000,-2.870000,1.400000
23.340000,-2.870000,1.380000
8.730000,-1.570000,-2.860000
-55.600000,-1.580000,-2.930000
-199.680000,-1.570000,-2.630000
-216.820000,-1.570000,-2.880000
-220.170000,-2.650000,-0.660000
-42.500000,-1.620000,1.000000
-166.480000,-1.570000,-2.830000
-186.030000,-1.590000,-2.940000
-188.880000,-1.570000,-2.910000
-42.500000,-1.620000,1.000000
30.040000,-1.570000,-2.460000
38.380000,-2.270000,-2.150000
51.640000,-2.650000,0.550000
52.060000,-2.650000,0.820000
51.670000,-2.670000,0.860000
51.490000,-2.650000,0.790000
37.780000,-2.870000,-1.730000
30.070000,-1.570000,-2.600000
-229.540000,-2.570000,-2.690000
-46.660000,-1.620000,0.100000
-42.500000,-1.620000,1.000000
-41.000000,-1.570000,-2.890000
-40.970000,-1.570000,-2.890000
-42.990000,-1.570000,-2.880000
-42.400000,-1.570000,-2.560000
-42.590000,-1.570000,-2.650000
-183.350000,-1.570000,-2.650000
