# NPC=10: Total hesitation points = 346
X,Y,Z
51.640000,-2.650000,0.550000
52.060000,-2.650000,0.820000
51.670000,-2.670000,0.860000
51.490000,-2.650000,0.790000
37.780000,-2.870000,-1.730000
30.070000,-1.570000,-2.600000
-229.540000,-2.570000,-2.690000
-42.500000,-1.620000,1.000000
-44.200000,-1.620000,0.170000
-106.820000,-1.580000,-2.930000
-107.070000,-1.570000,-2.810000
-134.960000,-1.580000,-2.930000
-143.090000,-1.570000,-2.910000
-166.200000,-2.870000,-1.690000
-167.500000,-2.870000,-1.750000
-199.160000,-2.870000,-1.750000
-203.700000,-2.870000,-1.730000
-218.310000,-2.440000,-2.520000
-218.310000,-2.440000,-2.520000
-218.310000,-2.440000,-2.520000
-218.310000,-2.440000,-2.490000
-227.310000,-2.870000,-1.360000
-46.660000,-1.620000,0.100000
-42.500000,-1.620000,1.000000
-42.680000,-1.620000,1.050000
-51.820000,-1.250000,-1.130000
-48.950000,-1.620000,-1.730000
-49.780000,-1.570000,-2.130000
-220.930000,-2.870000,-1.310000
-228.130000,-2.570000,-2.880000
-42.500000,-1.620000,1.000000
-51.410000,-1.570000,-2.780000
-152.620000,-1.570000,-2.870000
-122.500000,-1.570000,-2.150000
-215.380000,-1.570000,-2.790000
-228.320000,-2.570000,-2.880000
-42.500000,-1.620000,1.000000
-41.000000,-1.570000,-2.890000
-40.970000,-1.570000,-2.890000
-42.990000,-1.570000,-2.880000
-42.400000,-1.570000,-2.560000
-42.590000,-1.570000,-2.650000
-183.350000,-1.570000,-2.650000
-116.860000,-1.570000,-2.080000
50.650000,-2.570000,-2.880000
-42.500000,-1.620000,1.000000
-42.510000,-1.620000,1.000000
-42.480000,-1.620000,0.710000
-49.870000,-1.570000,-2.730000
-216.940000,-1.570000,-2.730000
-42.500000,-1.620000,1.000000
-42.420000,-1.620000,0.820000
35.280000,-1.570000,-2.880000
46.700000,-2.650000,-0.150000
51.860000,-2.650000,0.080000
31.380000,-2.650000,0.360000
17.630000,-2.870000,1.770000
34.730000,-2.650000,-0.290000
30.020000,-1.580000,-2.920000
-21.450000,-1.570000,-2.330000
-30.320000,-1.570000,-2.330000
-40.040000,-1.570000,-2.730000
-55.140000,-1.570000,-2.600000
-67.040000,-1.570000,-2.860000
-77.130000,-1.570000,-2.780000
-100.070000,-1.570000,-2.870000
-113.960000,-1.570000,-2.680000
-218.320000,-2.440000,-2.530000
-218.010000,-2.440000,-2.480000
-218.010000,-2.440000,-2.400000
-217.520000,-2.870000,-0.030000
-228.530000,-2.570000,-2.880000
-42.500000,-1.620000,1.000000
-167.740000,-1.570000,-2.860000
-217.990000,-2.370000,-2.580000
-217.510000,-2.870000,-1.450000
-217.530000,-2.870000,1.320000
-42.500000,-1.620000,1.000000
-103.410000,-1.570000,-2.850000
-117.020000,-1.570000,-2.850000
-116.110000,-1.580000,-2.920000
-42.490000,-1.620000,0.950000
-25.910000,-1.570000,-2.350000
5.740000,-1.570000,-2.740000
31.530000,-1.570000,-2.520000
36.990000,-1.570000,-2.490000
38.220000,-2.070000,-2.430000
38.860000,-2.440000,-2.320000
38.360000,-2.270000,-2.330000
37.550000,-1.570000,-2.440000
-16.230000,-1.570000,-2.890000
-59.800000,-1.580000,-2.920000
-158.580000,-1.580000,-2.920000
-175.240000,-1.570000,-2.890000
-42.500000,-1.620000,1.000000
-15.380000,-1.570000,-2.830000
-15.600000,-1.570000,-2.810000
-59.580000,-1.570000,-1.990000
-75.170000,-1.570000,-2.890000
-104.660000,-1.570000,-2.860000
-114.740000,-1.570000,-2.900000
-157.340000,-1.590000,-2.940000
-199.090000,-1.570000,-2.210000
-228.610000,-2.570000,-2.880000
-228.570000,-2.570000,-2.840000
-42.500000,-1.620000,1.000000
-42.430000,-1.620000,0.920000
-42.420000,-1.620000,0.930000
-41.890000,-1.570000,-2.870000
-31.350000,-1.570000,-2.160000
-31.360000,-1.570000,-2.190000
-218.460000,-2.630000,-1.500000
-239.820000,-2.580000,-2.370000
-229.300000,-2.580000,-2.390000
-42.500000,-1.620000,1.000000
-42.580000,-1.620000,1.030000
-54.720000,-1.620000,-0.510000
-54.740000,-1.620000,-0.850000
-55.850000,-1.570000,-2.090000
-56.520000,-1.620000,-1.730000
-56.400000,-1.620000,-1.620000
-56.320000,-1.620000,-1.640000
-56.210000,-1.620000,-1.790000
-130.260000,-1.590000,-2.940000
-134.170000,-1.570000,-2.870000
-134.170000,-1.570000,-2.800000
-168.830000,-1.570000,-2.880000
-168.890000,-1.570000,-2.890000
-216.910000,-1.590000,-2.930000
-216.910000,-1.570000,-2.850000
-216.720000,-1.570000,-2.790000
-218.460000,-2.630000,-1.510000
-218.460000,-2.630000,-1.520000
-228.880000,-2.620000,-1.960000
